id,name,product_priority,delivery_rank,decision,workstream_title,remaining,native,python,ui,priority_reason
addfdtd.auto shutoff max,auto shutoff max,P0,1,required,실행 신뢰성·낭비 방지,True,partial,partial,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
addfdtd.auto shutoff min,auto shutoff min,P0,1,required,실행 신뢰성·낭비 방지,True,partial,partial,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
addfdtd.dt stability factor,dt stability factor,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
addfdtd.simulation time,simulation time,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
addfdtd.use auto shutoff,use auto shutoff,P0,1,required,실행 신뢰성·낭비 방지,True,partial,partial,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
addfdtd.use divergence checking,use divergence checking,P0,1,required,실행 신뢰성·낭비 방지,True,partial,partial,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
addfdtd.use early shutoff,use early shutoff,P0,1,required,실행 신뢰성·낭비 방지,True,partial,partial,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.batch_resume,Batch 중단·실패·checksum resume,P0,1,required,실행 신뢰성·낭비 방지,True,implemented,implemented,missing,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.cancel,사용자 실행 중단,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.cpu,CPU solver,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.cuda,CUDA·CUDA Graph,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.cuda_fused,Fused CUDA Yee/CPML kernel,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.npz,NPZ 필드·좌표·스펙트럼 export,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.precision,float32 / float64,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.python,Native Python·JSON API,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
workflow.divergence,성장 감지·divergence threshold,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
workflow.shutoff,에너지 기반 auto shutoff,P0,1,required,실행 신뢰성·낭비 방지,False,implemented,implemented,implemented,"자동 종료, 전체 장 발산 검사, 취소·저장 결과의 구분은 모든 계산의 기반이다."
native.convergence,물리 시간·PML 두께 고정 mesh 수렴 검사,P0,2,required,정확도·수렴 검증,True,implemented,implemented,missing,같은 물리량과 물리적 시간으로 메시를 비교해야 정확도 대비 비용을 판단할 수 있다.
native.release,독립 공개 배포 패키지·출처 검증,P0,3,required,독립 배포 패키지,True,missing,missing,missing,공개할 코드·데이터·라이선스·자격증명 제외 목록을 검증해야 한다.
workflow.adjoint,Adjoint·자동미분 FDTD,P0,4,required,Torch 이산 adjoint·자동미분,True,partial,partial,partial,주요 개발 목표. 형상·유전율부터 loss.backward와 optimizer까지 연결하고 물리 gradient·시간·메모리를 검증한다.
native.memory_profile,GPU·host·파일 전송 비용 측정,P0,5,required,계층형 메모리·대규모 실행,True,partial,partial,missing,"주요 개발 목표. VRAM·DRAM·저장장치 checkpoint와 공간·시간 분할, 전송·재계산·batch 비용을 함께 검증한다."
workflow.memory_hierarchy,GPU·DRAM·디스크 계층형 checkpoint,P0,5,required,계층형 메모리·대규모 실행,True,partial,partial,partial,"주요 개발 목표. VRAM·DRAM·저장장치 checkpoint와 공간·시간 분할, 전송·재계산·batch 비용을 함께 검증한다."
workflow.out_of_core,Space-time tiled out-of-core GPU FDTD,P0,5,required,계층형 메모리·대규모 실행,True,partial,partial,partial,"주요 개발 목표. VRAM·DRAM·저장장치 checkpoint와 공간·시간 분할, 전송·재계산·batch 비용을 함께 검증한다."
"material.(n,k) Material.Imaginary Refractive Index",Imaginary Refractive Index,P1,6,required,수동 분산 재료,True,missing,missing,missing,다중 공진과 측정 광학상수의 수동 피팅이 파장 범위의 정확도를 결정한다.
